label.order_history_is_empty;Ihre Bestellhistorie ist zur Zeit noch leer
error.coupon_not_yet_valid;Gutschein-Code ist noch nicht gültig
error.coupon_consumed;Gutschein-Code wurde bereits benutzt
label.credit_note;Gutschrift
label.email__registration_text;Herzlichen Glückwunsch, Sie haben sich erfolgreich bei ###company.name### registriert und können sich nun mit folgenden Daten anmelden:
action.accept_tos;Ich akzeptiere die {{tos-link}}Allgemeinen Geschäftsbedingungen{{tos-link}}.
label.cancellation_terms;Ich bin mit den {{cancellation-terms-link}}Widerrufsbedingungen{{cancellation-terms-link}} einverstanden.
label.email__user_password_reset;Passwort zurückgesetzt
label.email__password_reset_text;Ihr Passwort wurde soeben zurückgesetzt und Sie können sich nun mit den folgenden Zugangsdaten wieder anmelden.
simpleshop.your_order_num;Ihre Bestellung
label.email__creditnote_text;Im Anhang finden Sie die Gutschrift
shop.order_status_IP;in Bearbeitung
shop.coupon_status_inactive;Inaktiv
shop.coupon_status_usable;kann vergeben werden
shop.coupon_status_givenaway;ist vergeben
shop.coupon_status_autogenerated;vergeben (autogeneriert)
action.add_to_cart;In die Einkaufstasche
action.place_order;Jetzt kaufen
action.register;Jetzt Registrieren
label.no_products_in_cart;Keine Produkte in der Einkaufstasche
label.code;Kodex
label.product_code;Produkt-Kodex
label.account_data;Kontodaten
label.nexi_credit_card ;Kreditkarte
label.country;Land
label.omest_orderslist_sent;"Liebe Kundin,

folgende Bestellungen wurden an OMEST gesendet und werden bei nächster Gelegenheit versendet:

{ORDERS}"
label.shipment_payment;Lieferung & Bezahlung
label.amount;Menge
label.tax;MwSt.
label.tax_included;MwSt. inkl.
label.vat_short;MwSt. Nr.
label.lastname;Nachname
label.name;Name
label.location;Ort
label.password;Passwort
label.new_password;Neues Passwort
label.repeat_email;Email wiederholen
label.repeat_password;Passwort wiederholen
error.email_not_identical_to_repeat;Die Email und die Wiederholung müssen identisch sein
error.new_password_not_identical_to_repeat;Das Passwort und die Wiederholung müssen identisch sein
label.password_forgotten;Passwort vergessen?
label.paypal_express;Paypal
label.postal;PLZ
label.position_short;Pos.
label.price;Preis
label.private_person;Privatperson
label.product;Produkt
label.product_not_available;Produkt ist nicht verfügbar
label.promotions;Promotionen
label.discount;Rabatt
error.discountgroup_not_applyable_anymore;Rabatt-Promotion hat sich geändert
label.invoice;Rechnung
label.invoice_address;Rechnungsadresse
label.invoice_num;Rechnungsnr.
label.registration_info_text;Registrieren Sie ihren Account.
label.pwd_recovery_info_text;Geben Sie Ihre Email-Adresse ein, dann senden wir Ihnen ein neues Passwort zu.
simpleshop.shipping_pickup_point;Selbstabholung
label.shipping_number;Sendungsnummer
label.edit_address;Adresse bearbeiten
label.new_address;Neue Adresse
label.login_info_text;Sie haben bereits einen Account? Log-In hier.
label.remarks_infos;Bemerkungen / Infos
label.registration_sucessfull;Sie haben sich erfolgreich registriert und können weiter-/anfangen einzukaufen
label.applied_promotion_text;Sie kommen in den Genuss folgender Promotionen:
error.tos_rma_not_accepted;Sie müssen die Geschäftsbedingungen und die Widerrufsbelehrungen akzeptieren
label.order_complete_pickup_text;Sie werden von uns kontaktiert sobald die Ware in unserem Lager abholbereit ist.
label.are_required_fields;sind Pflichtfelder
action.save;speichern
label.omest_shipping_ec;Standard / Economy
label.shipping_default;Standardversand
label.status;Status
label.gross_total;Steuergrundlage
label.fiscal_code;Steuernummer
label.street;Straße
label.overview;Übersicht
label.keep_password_notice;Um das aktuelle Passwort beizubehalten, das Feld leer lassen
label.shipping_address;Versandadresse
label.shipping_method;Versandart
label.shipping_country;Versandland
label.shipping_costs;Versandkosten
shop.order_status_SH;versendet
